Frequency [Hz]	FFT(A) [dB]
1148,4	33,60
1151,4	35,40
1154,3	33,90
1157,2	31,80
1160,2	31,50
1163,1	30,90
1166,0	31,70
1168,9	32,90
1171,9	34,50
1174,8	36,10
1177,7	35,20
1180,7	33,50
1183,6	33,60
1186,5	34,30
1189,5	34,90
1192,4	32,50
1195,3	33,30
1198,2	37,10
1201,2	35,60
1204,1	29,60
1207,0	29,10
1210,0	31,60
1212,9	33,90
1215,8	34,10
1218,8	33,90
1221,7	34,30
1224,6	34,40
1227,5	34,90
1230,5	34,70
1233,4	33,70
1236,3	33,40
1239,3	32,60
1242,2	30,00
1245,1	27,90
1248,0	28,70
1251,0	28,50
1253,9	28,40
1256,8	30,80
1259,8	29,90
1262,7	27,10
1265,6	29,20
1268,6	29,10
1271,5	29,20
1274,4	30,70
1277,3	31,20
1280,3	29,70
1283,2	29,30
1286,1	30,60
1289,1	30,90
1292,0	30,60
1294,9	28,90
1297,9	28,30
1300,8	28,00
1303,7	25,80
1306,6	27,70
1309,6	30,20
1312,5	31,90
1315,4	30,80
1318,4	28,60
1321,3	28,40
1324,2	29,00
1327,1	29,00
1330,1	29,30
1333,0	30,70
1335,9	30,20
1338,9	30,00
1341,8	29,80
1344,7	28,00
1347,7	26,90
1350,6	27,70
1353,5	27,10
1356,4	26,40
1359,4	27,30
1362,3	27,20
1365,2	27,40
1368,2	28,40
1371,1	27,40
1374,0	26,80
1377,0	27,80
1379,9	27,10
1382,8	28,00
1385,7	29,80
1388,7	30,10
1391,6	29,20
1394,5	28,20
1397,5	27,90
1400,4	28,00
1403,3	30,20
1406,3	32,10
1409,2	30,90
1412,1	31,10
1415,0	32,40
1418,0	30,90
1420,9	29,50
1423,8	30,80
1426,8	30,20
1429,7	29,10
1432,6	29,40
1435,5	29,40
1438,5	30,50
1441,4	30,20
1444,3	28,50
1447,3	27,80
1450,2	26,50
1453,1	23,90
1456,1	24,20
1459,0	25,00
1461,9	26,90
1464,8	27,10
1467,8	27,10
1470,7	28,40
1473,6	29,30
1476,6	27,70
1479,5	24,30
1482,4	24,70
1485,4	24,10
1488,3	21,40
1491,2	21,20
1494,1	27,70
1497,1	31,30
1500,0	29,10
1502,9	25,40
1505,9	28,50
1508,8	29,70
1511,7	30,10
1514,6	31,70
1517,6	32,50
1520,5	32,60
1523,4	31,50
1526,4	29,80
1529,3	27,40
1532,2	27,40
1535,2	28,20
1538,1	29,10
1541,0	30,20
1543,9	30,90
1546,9	32,90
1549,8	33,90
