Frequency [Hz]	FFT(A) [dB]
4637,7	17,10
4640,6	18,10
4643,6	18,50
4646,5	17,70
4649,4	17,10
4652,3	16,20
4655,3	15,90
4658,2	16,40
4661,1	16,40
4664,1	15,70
4667,0	16,20
4669,9	15,50
4672,9	12,80
4675,8	12,70
4678,7	12,10
4681,6	11,90
4684,6	12,70
4687,5	15,60
4690,4	15,80
4693,4	14,90
4696,3	15,10
4699,2	16,30
4702,1	18,70
4705,1	18,50
4708,0	15,20
4710,9	14,00
4713,9	15,60
4716,8	16,20
4719,7	16,00
4722,7	16,60
4725,6	17,30
4728,5	16,70
4731,4	16,70
4734,4	15,90
4737,3	15,60
4740,2	15,10
4743,2	16,60
4746,1	17,90
4749,0	18,00
4752,0	18,20
4754,9	18,60
4757,8	17,70
4760,7	16,20
4763,7	14,70
4766,6	13,30
4769,5	11,80
4772,5	11,70
4775,4	12,90
4778,3	14,60
4781,3	16,10
4784,2	18,40
4787,1	18,00
4790,0	15,00
4793,0	13,60
4795,9	15,30
4798,8	17,40
4801,8	18,00
4804,7	16,80
4807,6	14,60
4810,5	13,80
4813,5	12,40
4816,4	14,20
4819,3	15,30
4822,3	15,00
4825,2	17,10
4828,1	17,70
4831,1	16,20
4834,0	15,60
4836,9	14,80
4839,8	15,40
4842,8	16,10
4845,7	16,30
4848,6	15,20
4851,6	14,50
4854,5	13,80
4857,4	13,70
4860,4	13,70
4863,3	14,60
4866,2	15,60
4869,1	15,50
4872,1	15,00
4875,0	15,00
4877,9	15,20
4880,9	13,00
4883,8	10,70
4886,7	13,20
4889,6	15,40
4892,6	16,50
4895,5	16,00
4898,4	16,00
4901,4	17,10
4904,3	16,40
4907,2	13,70
4910,2	13,40
4913,1	17,20
4916,0	18,50
4918,9	17,00
4921,9	17,30
4924,8	18,50
4927,7	17,50
4930,7	15,30
4933,6	13,50
4936,5	15,10
4939,5	15,60
4942,4	15,90
4945,3	15,50
4948,2	14,70
4951,2	14,30
4954,1	14,60
4957,0	16,10
4960,0	16,60
4962,9	15,60
4965,8	16,40
4968,8	16,10
4971,7	15,00
4974,6	14,90
4977,5	15,10
4980,5	16,90
4983,4	17,50
4986,3	17,00
4989,3	17,20
4992,2	17,10
4995,1	16,60
4998,0	14,80
5001,0	12,70
5003,9	14,90
5006,8	16,20
5009,8	17,00
5012,7	17,80
5015,6	17,30
5018,6	16,80
5021,5	17,80
5024,4	17,30
5027,3	15,40
5030,3	13,60
5033,2	13,30
5036,1	16,30
5039,1	18,80
5042,0	19,40
5044,9	15,90
5047,9	11,80
5050,8	12,10
5053,7	13,40
5056,6	15,30
5059,6	15,10
5062,5	13,90
5065,4	13,90
5068,4	12,80
5071,3	10,50
5074,2	12,30
5077,1	13,60
5080,1	12,30
5083,0	13,80
5085,9	16,90
5088,9	18,40
5091,8	17,00
5094,7	13,10
5097,7	12,10
5100,6	12,30
5103,5	12,90
5106,4	14,00
5109,4	14,40
5112,3	14,40
5115,2	15,60
5118,2	16,30
5121,1	17,90
5124,0	19,30
5127,0	19,20
5129,9	16,10
5132,8	12,40
5135,7	14,60
5138,7	15,50
5141,6	15,10
5144,5	15,40
5147,5	16,70
5150,4	16,50
5153,3	15,60
5156,3	15,20
5159,2	15,60
5162,1	16,00
5165,0	16,30
5168,0	16,50
5170,9	17,80
5173,8	17,80
5176,8	16,20
5179,7	15,20
5182,6	15,60
5185,5	16,90
5188,5	16,80
5191,4	14,80
5194,3	13,60
5197,3	14,50
5200,2	14,80
5203,1	15,10
5206,1	14,30
5209,0	14,10
5211,9	14,60
5214,8	15,40
5217,8	17,50
5220,7	17,90
5223,6	15,40
5226,6	14,00
5229,5	13,60
5232,4	13,40
5235,4	14,70
5238,3	15,50
5241,2	14,90
5244,1	14,80
5247,1	15,00
5250,0	16,10
5252,9	16,30
5255,9	15,60
5258,8	15,10
5261,7	14,30
5264,6	14,70
5267,6	15,00
5270,5	13,90
5273,4	12,30
5276,4	13,00
5279,3	15,10
5282,2	15,80
5285,2	15,40
5288,1	14,00
5291,0	12,50
5293,9	11,80
5296,9	11,90
5299,8	12,20
5302,7	11,90
5305,7	11,70
5308,6	12,70
5311,5	13,10
5314,5	13,50
5317,4	13,30
5320,3	13,90
5323,2	14,70
5326,2	14,90
5329,1	14,50
5332,0	16,00
5335,0	16,80
5337,9	15,10
5340,8	14,20
5343,8	12,10
5346,7	11,40
5349,6	11,20
5352,5	10,20
5355,5	11,30
5358,4	13,70
5361,3	14,40
5364,3	14,50
5367,2	15,70
5370,1	15,70
5373,0	14,70
5376,0	14,70
5378,9	13,80
5381,8	12,20
5384,8	11,10
5387,7	13,30
5390,6	13,70
5393,6	13,30
5396,5	13,50
5399,4	12,00
5402,3	11,70
5405,3	11,70
5408,2	12,50
5411,1	13,20
5414,1	12,70
5417,0	13,10
5419,9	14,10
5422,9	14,50
5425,8	13,60
5428,7	13,70
5431,6	14,10
5434,6	13,00
5437,5	11,40
5440,4	10,30
5443,4	12,30
5446,3	11,30
5449,2	10,50
5452,1	13,80
5455,1	15,40
5458,0	14,10
5460,9	12,90
5463,9	14,70
5466,8	16,00
5469,7	16,80
5472,7	16,30
5475,6	14,50
5478,5	14,60
5481,4	15,30
5484,4	14,70
5487,3	14,20
5490,2	14,40
5493,2	13,90
5496,1	13,00
5499,0	11,90
5502,0	13,10
5504,9	14,20
5507,8	14,40
5510,7	14,20
5513,7	14,90
5516,6	14,60
5519,5	14,30
5522,5	14,90
5525,4	14,90
5528,3	13,30
5531,3	13,00
5534,2	13,00
5537,1	13,30
5540,0	12,60
5543,0	12,00
5545,9	11,60
5548,8	10,70
5551,8	10,40
5554,7	11,70
5557,6	11,90
5560,5	13,20
5563,5	14,50
5566,4	15,50
5569,3	16,50
5572,3	15,50
5575,2	12,80
5578,1	12,70
5581,1	12,50
5584,0	12,40
5586,9	12,80
5589,8	12,10
5592,8	11,30
5595,7	12,50
5598,6	12,80
5601,6	12,70
5604,5	13,50
5607,4	14,60
5610,4	14,70
5613,3	15,30
5616,2	15,00
5619,1	11,80
5622,1	11,10
5625,0	13,00
5627,9	13,70
5630,9	13,80
5633,8	13,60
5636,7	13,60
5639,6	14,90
5642,6	16,00
5645,5	15,70
5648,4	17,70
5651,4	18,00
5654,3	16,20
5657,2	13,90
5660,2	14,30
5663,1	15,00
5666,0	14,40
5668,9	12,60
5671,9	11,50
5674,8	12,20
5677,7	11,10
5680,7	11,20
5683,6	13,50
5686,5	13,10
5689,5	12,30
5692,4	13,90
5695,3	15,60
5698,2	13,90
5701,2	12,50
5704,1	14,00
5707,0	14,50
5710,0	14,30
5712,9	14,30
5715,8	14,50
5718,8	14,80
5721,7	14,50
5724,6	14,30
5727,5	14,60
5730,5	14,50
5733,4	15,60
5736,3	16,10
5739,3	15,60
5742,2	15,00
5745,1	14,40
5748,0	15,10
5751,0	15,90
5753,9	16,80
5756,8	16,10
5759,8	15,10
5762,7	15,00
5765,6	15,00
5768,6	16,00
5771,5	15,30
5774,4	14,10
5777,3	14,90
5780,3	14,10
5783,2	12,50
5786,1	12,30
5789,1	11,10
5792,0	12,10
5794,9	12,60
5797,9	12,10
5800,8	11,90
5803,7	11,20
5806,6	11,00
5809,6	12,20
5812,5	13,50
5815,4	14,70
5818,4	14,70
5821,3	14,10
5824,2	13,10
5827,1	11,90
5830,1	13,80
5833,0	13,90
5835,9	12,70
5838,9	12,20
5841,8	12,20
5844,7	13,50
5847,7	13,70
5850,6	11,90
5853,5	9,70
5856,4	11,60
5859,4	12,50
5862,3	11,90
5865,2	11,00
5868,2	11,30
5871,1	11,30
5874,0	11,50
5877,0	13,10
5879,9	14,30
5882,8	15,30
5885,7	14,50
5888,7	13,60
5891,6	13,90
5894,5	13,70
5897,5	11,30
5900,4	10,60
5903,3	11,30
5906,3	12,60
5909,2	13,60
5912,1	12,70
5915,0	11,30
5918,0	12,10
5920,9	13,30
5923,8	12,40
5926,8	10,20
5929,7	10,60
5932,6	12,00
5935,5	13,30
5938,5	14,10
5941,4	13,80
5944,3	12,50
5947,3	12,60
5950,2	13,60
5953,1	13,40
5956,1	13,10
5959,0	14,80
5961,9	14,80
5964,8	14,00
5967,8	15,00
5970,7	15,20
5973,6	13,20
5976,6	11,10
5979,5	9,50
5982,4	9,40
5985,4	10,60
5988,3	10,30
5991,2	9,70
5994,1	13,20
5997,1	14,80
6000,0	13,60
6002,9	13,60
6005,9	14,40
6008,8	13,60
6011,7	12,20
6014,6	11,30
6017,6	10,80
6020,5	12,70
6023,4	13,30
6026,4	10,30
6029,3	11,10
6032,2	13,60
6035,2	12,80
6038,1	10,90
6041,0	10,30
6043,9	11,30
6046,9	12,80
6049,8	13,20
6052,7	12,20
6055,7	10,50
6058,6	12,40
6061,5	13,70
6064,5	14,10
6067,4	15,30
6070,3	15,10
6073,2	13,40
6076,2	11,00
6079,1	13,30
6082,0	15,00
6085,0	13,90
6087,9	14,30
6090,8	16,10
6093,8	17,70
6096,7	18,80
6099,6	19,20
6102,5	17,60
6105,5	14,80
6108,4	13,60
6111,3	13,50
6114,3	15,00
6117,2	17,10
6120,1	17,50
6123,0	15,50
6126,0	14,00
6128,9	15,30
6131,8	15,70
6134,8	15,30
6137,7	16,10
6140,6	16,70
6143,6	15,30
6146,5	12,50
6149,4	11,20
6152,3	10,40
6155,3	9,70
6158,2	11,00
6161,1	11,30
6164,1	10,60
6167,0	10,60
6169,9	11,30
6172,9	12,20
6175,8	13,90
6178,7	14,10
6181,6	13,90
6184,6	14,20
6187,5	14,00
6190,4	14,30
6193,4	15,40
6196,3	17,10
6199,2	18,00
6202,1	18,00
6205,1	17,50
6208,0	16,40
6210,9	15,00
6213,9	14,90
6216,8	15,10
6219,7	16,40
6222,7	18,70
6225,6	19,10
6228,5	17,70
6231,4	15,90
6234,4	15,10
6237,3	14,10
6240,2	14,00
6243,2	13,70
6246,1	11,50
6249,0	8,50
6252,0	10,90
6254,9	12,40
6257,8	12,90
6260,7	12,50
6263,7	10,70
6266,6	10,30
6269,5	13,00
6272,5	15,30
6275,4	16,10
6278,3	15,60
6281,3	13,20
6284,2	12,10
6287,1	14,20
6290,0	17,50
6293,0	18,50
6295,9	18,40
6298,8	17,40
6301,8	14,70
6304,7	11,60
6307,6	10,50
6310,5	10,40
6313,5	8,70
6316,4	11,70
6319,3	13,80
6322,3	12,80
6325,2	12,70
6328,1	13,40
6331,1	11,80
6334,0	10,80
6336,9	11,10
6339,8	13,10
6342,8	13,80
6345,7	13,10
6348,6	13,10
6351,6	12,80
6354,5	14,60
6357,4	15,20
6360,4	14,60
6363,3	13,20
6366,2	12,80
6369,1	13,60
6372,1	13,60
6375,0	11,80
6377,9	9,20
6380,9	10,30
6383,8	10,70
6386,7	10,30
6389,6	10,70
6392,6	11,90
6395,5	11,40
6398,4	9,30
6401,4	8,60
6404,3	10,40
6407,2	12,50
6410,2	13,40
6413,1	14,60
6416,0	16,00
6418,9	16,40
6421,9	15,10
6424,8	12,60
6427,7	12,80
6430,7	12,70
6433,6	12,10
6436,5	11,40
6439,5	10,50
6442,4	10,30
6445,3	9,30
6448,2	7,00
6451,2	8,20
6454,1	10,90
6457,0	11,20
6460,0	9,90
6462,9	8,90
6465,8	9,30
6468,8	10,10
6471,7	11,20
6474,6	12,40
6477,5	11,80
6480,5	10,20
6483,4	9,20
6486,3	9,70
6489,3	10,90
6492,2	11,30
6495,1	11,10
6498,0	11,10
6501,0	11,10
6503,9	10,50
6506,8	11,10
6509,8	12,80
6512,7	12,80
6515,6	11,00
6518,6	10,10
6521,5	9,70
6524,4	7,80
6527,3	6,80
6530,3	7,40
6533,2	8,10
6536,1	7,80
6539,1	10,20
6542,0	12,60
6544,9	12,90
6547,9	13,10
6550,8	13,60
6553,7	13,30
6556,6	10,80
6559,6	7,50
6562,5	7,90
6565,4	8,90
6568,4	8,50
6571,3	9,10
6574,2	10,20
6577,1	9,80
6580,1	9,90
6583,0	9,30
6585,9	8,00
6588,9	8,30
6591,8	9,40
6594,7	7,80
6597,7	8,10
6600,6	8,50
6603,5	8,00
6606,4	8,30
6609,4	8,40
6612,3	9,40
6615,2	9,90
6618,2	8,70
6621,1	8,40
6624,0	8,70
6627,0	9,30
6629,9	8,70
6632,8	9,60
6635,7	11,00
6638,7	11,00
6641,6	8,90
6644,5	7,30
6647,5	7,40
6650,4	9,10
6653,3	8,40
6656,3	7,00
6659,2	8,20
6662,1	9,50
6665,0	11,50
6668,0	12,90
6670,9	12,00
6673,8	10,40
6676,8	11,20
6679,7	10,80
6682,6	9,30
6685,5	8,90
6688,5	9,10
6691,4	9,70
6694,3	9,70
6697,3	10,80
6700,2	11,70
6703,1	10,70
6706,1	9,90
6709,0	9,40
6711,9	9,30
6714,8	10,80
6717,8	11,50
6720,7	10,90
6723,6	10,20
6726,6	11,20
6729,5	12,90
6732,4	14,50
6735,4	14,40
6738,3	12,70
6741,2	10,70
6744,1	9,10
6747,1	10,20
6750,0	10,30
6752,9	10,00
6755,9	9,70
6758,8	8,80
6761,7	9,80
6764,6	11,00
6767,6	12,40
6770,5	12,60
6773,4	11,00
6776,4	7,50
6779,3	7,30
6782,2	9,30
6785,2	9,50
6788,1	9,20
6791,0	9,30
6793,9	8,50
6796,9	8,50
6799,8	9,90
6802,7	10,30
6805,7	9,50
6808,6	10,30
6811,5	10,70
6814,5	12,70
6817,4	14,20
6820,3	14,00
6823,2	13,00
6826,2	11,60
6829,1	12,20
6832,0	12,40
6835,0	11,60
6837,9	9,50
6840,8	8,00
6843,8	10,20
6846,7	11,50
6849,6	10,50
6852,5	9,10
6855,5	8,20
6858,4	8,50
6861,3	10,20
6864,3	12,70
6867,2	14,20
6870,1	14,30
6873,0	13,00
6876,0	11,10
6878,9	10,00
6881,8	10,40
6884,8	12,10
6887,7	13,20
6890,6	12,60
6893,6	11,00
6896,5	9,50
6899,4	7,20
6902,3	7,00
6905,3	8,80
6908,2	9,70
6911,1	10,40
6914,1	11,20
6917,0	11,90
6919,9	11,50
6922,9	10,40
6925,8	9,40
6928,7	7,60
6931,6	8,10
6934,6	11,30
6937,5	11,60
6940,4	12,30
6943,4	13,10
6946,3	12,00
6949,2	10,40
6952,1	11,10
6955,1	11,10
6958,0	10,50
6960,9	10,30
6963,9	9,60
6966,8	9,10
6969,7	10,60
6972,7	11,60
6975,6	10,40
6978,5	7,60
6981,4	7,70
6984,4	9,60
6987,3	10,40
6990,2	9,00
6993,2	8,70
6996,1	10,30
6999,0	11,60
7002,0	12,30
7004,9	11,40
7007,8	10,00
7010,7	10,50
7013,7	12,00
7016,6	11,80
7019,5	9,90
7022,5	8,30
7025,4	8,70
7028,3	7,90
7031,3	7,60
7034,2	8,80
7037,1	10,80
7040,0	11,50
7043,0	9,90
7045,9	9,50
7048,8	10,30
7051,8	10,20
7054,7	9,30
7057,6	7,50
7060,5	7,40
7063,5	9,20
7066,4	10,00
7069,3	9,20
7072,3	6,90
7075,2	7,70
7078,1	10,10
7081,1	11,20
7084,0	11,30
7086,9	12,70
7089,8	12,40
7092,8	10,70
7095,7	9,80
7098,6	10,00
7101,6	9,70
7104,5	9,30
7107,4	9,20
7110,4	8,50
7113,3	8,80
7116,2	10,00
7119,1	10,40
7122,1	11,00
7125,0	11,00
7127,9	11,20
7130,9	12,20
7133,8	12,40
7136,7	11,80
7139,6	11,00
7142,6	10,30
7145,5	11,40
7148,4	13,10
7151,4	12,90
7154,3	11,70
7157,2	10,70
7160,2	11,80
7163,1	12,50
7166,0	12,20
7168,9	13,20
7171,9	12,70
7174,8	9,70
7177,7	8,30
7180,7	9,50
7183,6	10,80
7186,5	11,90
7189,5	11,90
7192,4	12,00
7195,3	11,20
7198,2	9,90
7201,2	10,80
7204,1	12,00
7207,0	12,40
7210,0	13,00
7212,9	11,60
7215,8	10,00
7218,8	9,90
7221,7	10,70
7224,6	12,00
7227,5	13,30
7230,5	13,30
7233,4	13,40
7236,3	13,20
7239,3	11,60
7242,2	10,90
7245,1	11,30
7248,0	11,60
7251,0	13,30
7253,9	14,60
7256,8	14,50
7259,8	14,20
7262,7	13,80
7265,6	12,30
7268,6	9,50
7271,5	8,80
7274,4	10,30
7277,3	11,30
7280,3	10,10
7283,2	8,70
7286,1	9,10
7289,1	10,30
7292,0	11,20
7294,9	11,60
7297,9	11,70
7300,8	12,40
7303,7	12,70
7306,6	12,20
7309,6	11,50
7312,5	11,40
7315,4	10,00
7318,4	8,60
7321,3	9,70
7324,2	10,50
7327,1	10,80
7330,1	10,20
7333,0	10,60
7335,9	12,30
7338,9	12,50
7341,8	11,40
7344,7	9,20
7347,7	8,70
7350,6	8,10
7353,5	8,00
7356,4	8,90
7359,4	8,10
7362,3	5,70
7365,2	4,50
7368,2	7,00
7371,1	6,90
7374,0	6,00
7377,0	7,60
7379,9	7,70
7382,8	6,60
7385,7	6,30
7388,7	5,80
7391,6	5,30
7394,5	4,50
7397,5	4,80
7400,4	8,60
7403,3	10,20
7406,3	10,00
7409,2	9,50
7412,1	9,50
7415,0	9,60
7418,0	8,20
7420,9	7,40
7423,8	7,20
7426,8	7,10
7429,7	7,60
7432,6	8,00
7435,5	8,10
7438,5	9,00
7441,4	9,70
7444,3	9,00
7447,3	7,00
7450,2	7,80
7453,1	8,20
7456,1	7,30
7459,0	8,40
7461,9	7,60
7464,8	7,70
7467,8	8,60
7470,7	9,10
7473,6	8,30
7476,6	5,80
7479,5	4,70
7482,4	4,60
7485,4	4,70
7488,3	6,00
7491,2	7,10
7494,1	7,20
7497,1	7,90
7500,0	8,70
7502,9	9,20
7505,9	8,70
7508,8	6,10
7511,7	4,70
7514,6	5,80
7517,6	6,60
7520,5	6,50
7523,4	6,30
7526,4	6,60
7529,3	7,50
7532,2	7,70
7535,2	6,60
7538,1	5,60
7541,0	6,50
7543,9	7,60
7546,9	6,20
7549,8	4,10
7552,7	4,40
7555,7	5,90
7558,6	7,00
7561,5	7,30
7564,5	5,30
7567,4	4,00
7570,3	6,30
7573,2	7,30
7576,2	5,20
7579,1	5,70
7582,0	7,10
7585,0	7,80
7587,9	7,10
7590,8	6,50
7593,8	5,70
7596,7	3,70
7599,6	2,70
7602,5	3,20
7605,5	5,30
7608,4	6,40
7611,3	7,50
7614,3	8,30
7617,2	7,80
7620,1	6,20
7623,0	6,20
7626,0	7,20
7628,9	6,20
7631,8	5,60
7634,8	6,60
7637,7	6,40
7640,6	7,40
7643,6	8,30
7646,5	8,40
7649,4	8,00
7652,3	8,10
7655,3	7,40
7658,2	6,80
7661,1	6,30
7664,1	4,30
7667,0	4,80
7669,9	7,20
7672,9	6,80
7675,8	5,30
7678,7	6,60
7681,6	7,50
7684,6	7,70
7687,5	8,70
7690,4	7,70
7693,4	4,60
7696,3	4,30
7699,2	6,80
7702,1	8,10
7705,1	7,90
7708,0	6,50
7710,9	6,90
7713,9	8,30
7716,8	9,60
7719,7	9,30
7722,7	7,10
7725,6	6,40
7728,5	7,90
7731,4	9,90
7734,4	11,00
7737,3	10,90
7740,2	9,90
7743,2	9,60
7746,1	8,70
7749,0	6,20
7752,0	7,10
7754,9	8,60
7757,8	8,40
7760,7	8,60
7763,7	8,10
7766,6	5,60
7769,5	4,00
7772,5	4,40
7775,4	4,60
7778,3	4,40
7781,3	5,70
7784,2	8,00
7787,1	9,00
7790,0	9,20
7793,0	8,30
7795,9	6,20
7798,8	7,60
7801,8	9,20
7804,7	8,60
7807,6	5,90
7810,5	5,30
7813,5	7,10
7816,4	7,80
7819,3	5,80
7822,3	3,90
7825,2	5,60
7828,1	6,20
7831,1	6,80
7834,0	7,50
7836,9	6,30
7839,8	2,90
7842,8	3,90
7845,7	8,60
7848,6	10,70
7851,6	9,90
7854,5	7,90
7857,4	7,00
7860,4	7,50
7863,3	6,80
7866,2	4,90
7869,1	4,30
7872,1	4,60
7875,0	5,80
7877,9	7,90
7880,9	8,60
7883,8	7,90
7886,7	7,70
7889,6	8,20
7892,6	8,50
7895,5	8,50
7898,4	7,50
7901,4	5,20
7904,3	3,30
7907,2	5,00
7910,2	10,10
7913,1	11,00
7916,0	10,60
7918,9	9,50
7921,9	7,40
7924,8	9,50
7927,7	10,10
7930,7	9,80
7933,6	9,30
7936,5	8,90
7939,5	10,20
7942,4	11,10
7945,3	9,30
7948,2	7,20
7951,2	8,30
7954,1	8,60
7957,0	6,70
7960,0	6,30
7962,9	7,90
7965,8	9,40
7968,8	9,10
7971,7	8,10
7974,6	7,50
7977,5	8,60
7980,5	10,10
7983,4	10,30
7986,3	8,90
7989,3	6,30
7992,2	6,50
7995,1	6,20
7998,0	6,80
8001,0	7,20
8003,9	6,50
8006,8	5,90
8009,8	8,30
8012,7	9,70
8015,6	9,00
8018,6	8,80
8021,5	8,50
8024,4	8,30
8027,3	8,00
8030,3	7,20
8033,2	8,00
8036,1	9,00
8039,1	9,30
8042,0	9,60
8044,9	8,30
8047,9	7,30
8050,8	7,70
8053,7	7,80
8056,6	9,40
8059,6	9,30
8062,5	9,20
8065,4	8,70
8068,4	6,90
8071,3	5,10
8074,2	7,10
8077,1	10,20
8080,1	10,50
8083,0	8,70
8085,9	6,80
8088,9	5,40
8091,8	5,30
8094,7	7,00
8097,7	9,00
8100,6	8,60
8103,5	9,00
8106,4	10,80
8109,4	12,20
8112,3	12,20
8115,2	10,00
8118,2	7,50
8121,1	5,90
8124,0	6,20
8127,0	6,80
8129,9	6,70
8132,8	6,10
8135,7	3,70
8138,7	4,90
8141,6	7,20
8144,5	6,70
8147,5	4,90
8150,4	3,20
8153,3	4,50
8156,3	6,50
8159,2	6,80
8162,1	5,80
8165,0	4,50
8168,0	5,80
8170,9	7,70
8173,8	9,30
8176,8	10,70
8179,7	11,40
8182,6	11,10
8185,5	10,20
8188,5	9,30
8191,4	7,80
8194,3	7,20
8197,3	8,70
8200,2	8,80
8203,1	7,80
8206,1	6,90
8209,0	5,80
8211,9	5,10
8214,8	5,40
8217,8	6,30
8220,7	6,70
8223,6	7,30
8226,6	9,20
8229,5	10,80
8232,4	10,10
8235,4	7,70
8238,3	5,20
8241,2	3,60
8244,1	3,80
8247,1	5,40
8250,0	5,80
8252,9	5,40
8255,9	4,50
8258,8	4,80
8261,7	7,10
8264,6	8,70
8267,6	9,70
8270,5	9,80
8273,4	8,00
8276,4	6,30
8279,3	6,70
8282,2	7,20
8285,2	5,80
8288,1	5,00
8291,0	7,40
8293,9	8,70
8296,9	7,90
8299,8	7,40
8302,7	8,00
8305,7	8,40
8308,6	7,60
8311,5	5,40
8314,5	2,40
8317,4	2,20
8320,3	6,30
8323,2	9,30
8326,2	8,80
8329,1	7,30
8332,0	6,50
8335,0	5,60
8337,9	6,70
8340,8	6,70
8343,8	5,20
8346,7	6,00
8349,6	7,20
8352,5	7,50
8355,5	7,50
8358,4	6,40
8361,3	5,80
8364,3	4,30
8367,2	5,00
8370,1	8,80
8373,0	9,90
8376,0	8,30
8378,9	5,90
8381,8	5,20
8384,8	6,10
8387,7	6,50
8390,6	5,60
8393,6	5,80
8396,5	6,10
8399,4	5,30
8402,3	6,70
8405,3	8,30
8408,2	8,60
8411,1	7,70
8414,1	6,10
8417,0	5,90
8419,9	5,50
8422,9	5,10
8425,8	6,50
8428,7	7,60
8431,6	6,70
8434,6	5,40
8437,5	6,00
8440,4	6,20
8443,4	5,50
8446,3	5,50
8449,2	6,20
8452,1	6,70
8455,1	7,80
8458,0	7,80
8460,9	6,00
8463,9	4,80
8466,8	6,10
8469,7	7,40
8472,7	6,20
8475,6	4,50
8478,5	5,10
8481,4	5,60
8484,4	5,00
8487,3	4,80
8490,2	4,30
8493,2	2,30
8496,1	0,40
8499,0	1,00
8502,0	2,70
8504,9	4,60
8507,8	4,60
8510,7	2,70
8513,7	2,10
8516,6	4,50
8519,5	5,20
8522,5	5,10
8525,4	4,70
8528,3	4,70
8531,3	4,70
8534,2	4,60
8537,1	4,80
8540,0	4,50
8543,0	3,80
8545,9	2,80
8548,8	3,80
8551,8	3,80
8554,7	2,00
8557,6	2,60
8560,5	4,60
8563,5	5,80
8566,4	6,30
8569,3	7,50
8572,3	8,60
8575,2	9,20
8578,1	8,40
8581,1	5,10
8584,0	4,20
8586,9	5,20
8589,8	4,90
8592,8	4,40
8595,7	3,20
8598,6	1,90
8601,6	1,00
8604,5	3,10
8607,4	4,30
8610,4	3,10
8613,3	2,70
8616,2	3,20
8619,1	4,10
8622,1	5,50
8625,0	6,50
8627,9	6,40
8630,9	5,40
8633,8	5,30
8636,7	6,10
8639,6	6,30
8642,6	6,20
8645,5	5,30
8648,4	4,50
8651,4	4,30
8654,3	4,10
8657,2	3,20
8660,2	3,20
8663,1	4,70
8666,0	5,30
8668,9	5,30
8671,9	4,80
8674,8	4,40
8677,7	4,20
8680,7	3,80
8683,6	3,20
8686,5	2,40
8689,5	1,70
8692,4	1,40
8695,3	2,20
8698,2	2,60
8701,2	1,70
8704,1	2,50
8707,0	4,30
8710,0	6,70
8712,9	8,30
8715,8	8,40
8718,8	6,80
8721,7	4,20
8724,6	2,90
8727,5	3,60
8730,5	3,20
8733,4	2,20
8736,3	3,40
8739,3	4,80
8742,2	4,10
8745,1	2,90
8748,0	4,10
8751,0	3,90
8753,9	2,50
8756,8	3,10
8759,8	4,30
8762,7	3,00
8765,6	1,60
8768,6	3,10
8771,5	3,60
8774,4	3,70
8777,3	3,80
8780,3	5,10
8783,2	7,00
8786,1	8,30
8789,1	8,60
8792,0	8,40
8794,9	8,00
8797,9	7,10
8800,8	7,30
8803,7	8,10
8806,6	8,50
8809,6	9,40
8812,5	10,40
8815,4	10,20
8818,4	9,10
8821,3	9,10
8824,2	10,90
8827,1	11,70
8830,1	10,50
8833,0	7,50
8835,9	5,60
8838,9	7,70
8841,8	8,50
8844,7	7,60
8847,7	7,30
8850,6	7,50
8853,5	6,60
8856,4	5,30
8859,4	6,70
8862,3	8,30
8865,2	9,40
8868,2	9,80
8871,1	9,30
8874,0	7,80
8877,0	6,90
8879,9	6,80
8882,8	6,70
8885,7	5,90
8888,7	4,60
8891,6	3,90
8894,5	3,50
8897,5	4,20
8900,4	5,30
8903,3	7,00
8906,3	8,70
8909,2	9,00
8912,1	9,10
8915,0	8,20
8918,0	5,30
8920,9	5,40
8923,8	8,00
8926,8	8,90
8929,7	8,10
8932,6	8,00
8935,5	9,70
8938,5	10,70
8941,4	10,80
8944,3	10,40
8947,3	9,50
8950,2	9,20
8953,1	9,20
8956,1	8,90
8959,0	7,70
8961,9	6,70
8964,8	8,30
8967,8	10,00
8970,7	10,70
8973,6	10,60
8976,6	9,30
8979,5	7,70
8982,4	5,90
8985,4	3,60
8988,3	2,60
8991,2	4,50
8994,1	6,00
8997,1	4,40
9000,0	2,80
9002,9	2,00
9005,9	3,50
9008,8	5,30
9011,7	6,00
9014,6	5,90
9017,6	4,80
9020,5	3,70
9023,4	4,20
9026,4	4,70
9029,3	3,50
9032,2	1,80
9035,2	2,60
9038,1	4,70
9041,0	5,70
9043,9	5,80
9046,9	4,30
9049,8	3,00
9052,7	4,00
9055,7	5,00
9058,6	4,80
9061,5	4,50
9064,5	4,20
9067,4	4,00
9070,3	5,10
9073,2	4,20
9076,2	3,50
9079,1	4,20
9082,0	3,20
9085,0	2,60
9087,9	1,60
9090,8	2,50
9093,8	2,30
9096,7	2,70
9099,6	3,40
9102,5	3,50
9105,5	3,30
9108,4	3,40
9111,3	4,20
9114,3	4,50
9117,2	4,40
9120,1	4,10
9123,0	3,00
9126,0	4,20
9128,9	5,30
9131,8	3,10
9134,8	0,40
9137,7	3,70
9140,6	6,00
9143,6	6,00
9146,5	4,90
9149,4	5,00
9152,3	5,20
9155,3	4,70
9158,2	3,50
9161,1	3,20
9164,1	3,80
9167,0	4,30
9169,9	5,00
9172,9	5,70
9175,8	5,70
9178,7	5,60
9181,6	5,50
9184,6	4,60
